Principio activo,Concentración
cloroquina fosfato,250 mg
valsartan,320 mg 
valsartan ,160 mg 
valsartan,,80 mg
verapamilo clorhidrato,120 mg 
verapamilo clorhidrato,80 mg
biperidino ,2 mg
gabapentina ,400 mg
fexofenadina clorhidrato,120 mg 
metropol succinato,50 mg
ondansetron,8 mg
metropolol,50 mg
furosemida,40 mg
acido fenofíbrico-rosuvastatina,135/5 mg
hidrosmina,200 mg
ezetimiba+simvastatina,10/40 mg
atorvastatina,40 mg
atorvastatina,10 mg
priridoxina clorhidrato,50 mg
prazosina,1 mg
pregabalina,25 mg
lanzoprasol,30 mg
dexlansoprasol,60 mg
lovastatina,20 mg 
enalapril,20 mg 
vildagliptina/clorhidrato de metformina,50/1000 mg 
azitromicina ,500 mg
hidroclotiazida,25 mg
lanzoprasol,15 mg
bisoprolol ,2,5 mg
amlodipino ,5 mg
acetilsisteina ,200 mg
rosuvastatina,20 mg 
rosuvastatina,10 mg 
celecoxib,200 mg
calcio ,600 mg
duloxetina,30 mg
loperamida,2 mg
sucralfato,1 g
trimebutina+ simeticona ,200/120 mg
dutasterida,0.5 mg
ácido fólico,1 mg
nimodipino,30 mg
levosulprida+pancreatina+simeticona ,25/150/80 mg
imipramina ,25 mg 
ginko biloba ,80 mg
nifedipino,30 mg
microfenilato mofetilo,500 mg
mirabegron,25 mg 
minoxidil,10 mg 
metformina,500 mg
colchicina,0.5 mg
amlodipino ,10 mg
metfomina,850 mg
metfomina,1000 mg
Clonidina,0.150 mg
Metoprolol,50 mg
Aciclovir,200 mg
Carbonato de calcio,1500 mg
rosuvastatina,40 mg 
Genfibrozilo,600 mg
Desvenlafaxina,50 mg
pregabalina,75 mg
acido fenofíbrico-rosuvastatina,135/10 mg
Losartan potásico,50 mg
atorvastatina,20 mg
gabapentina ,300 mg
Fluoxetina,20 mg
Tapentadol,100 mg
pregabalina,150 mg
acido fenofíbrico-rosuvastatina,135/20 mg
Metoclopramida,10 mg
Ciclobenzaprina clorhidrato,15 mg
Carbamazepina,200 mg
Hidroxiurea,500 mg
sulfasalazina,500 mg
Diacereína,50 mg
Dinitrato de isosorbide,5 mg
colestiramina,4 g
Azatioprina,50 mg
trimebutina,200 mg
Meloxicam,7.5 mg
Mosapride,5 mg
Valdoxan,25 mg
Clorhidrato de paroxetina,12.5 mg
Clorhidrato de paroxetina,25 mg
Espironolactona,25 mg
Losartan potásico + hidroclorotiazida,50 mg + 12.5 mg
pregabalina,50 mg
trimebutina+ simeticona ,200/75 mg
Calcio + vitamina D3,600 mg / U
Leflunomida,20 mg
Nebivolol,5 mg
Glucosamina + condroitina + metilsulfonilmetano,1500 + 1200 + 2400 mg
imipramina ,10 mg 
Piridoxina,50 mg
Letrozol,2,5 mg
Amantadina,100 mg
Fenofibrato microionizado ,200 mg
Empaglifosina + metformina,12,5/1000 mg
Fracción flavanoide purificada y microinizado ,500 mg
Indapamida,1,5 mg
Clozapina ,100 mg
Captopril ,2,5 mg
Eplerenona,50 mg
Memantina HCl,10 mg 
Belamstina diclorohidrato,16 mg
Bromhudrato de darifenacina,15 mg
Dapaglifozina/Metofmina HCl,5/1000 mg
Doxazosina,4 mg
n-butilbromuro de hioscina,10 mg 
Duloxetina ,60 mg
Propanolol,40 mg
Esatalopram,10 mg 
Esatalopram,20 mg 
Bromuro de pinaverio/DImeticona,100/300 mg
Vemafaxina,37,5 mg
Amoxicilina,500 mg
ciprofloxacina,500 mg
desloratadina,5 mg
alopurinol,100 mg
Cilostazol,50 mg
amiodarona,200 mg
Alverina/simeticona,60/300 mg
Vitamina D3,200 UI
Oxaprozin,600 mg 
acetilsisteina,600 mg 
hidroxido de aluminio,234 mg
escitalopram,20 mg 
meclizina,25 mg
acido folico,1 mg
pantoprazol,20 mg 
pantoprazol,40 mg 
enalapril,5 mg 
Propanolol,80 mg
loratadina,10 mg 
metformina,850 mg
metformina,1000 mg
metformina,1000 mg
lanzetas,50
tirilla,50
metropolol,100 mg
cetirizina,10 mg 
lacosamida,100 mg
Montelukast,10 mg 
escitalopram,10 mg 
tizanidina clorhidrato/ibuprofeno,2/400 mg
glicazida,60 mg
bisoprolol ,5 mg
donecepilo clorhidrato,10 mg 
sertralina,100 mg
